DATA_NAME,SORT,TRIAL,DURATION[ms]
1000000/1000000/4,radix,9,1756
1000000/1000000/4_almost,radix,0,1574
1000000/1000000/4_almost,radix,1,1629
1000000/1000000/4_almost,radix,2,1604
1000000/1000000/4_almost,radix,3,1715
1000000/1000000/4_almost,radix,4,1629
1000000/1000000/4_almost,radix,5,1625
1000000/1000000/4_almost,radix,6,1803
1000000/1000000/4_almost,radix,7,1668
1000000/1000000/4_almost,radix,8,1670
1000000/1000000/4_almost,radix,9,1669
10000/10000/0,quick,0,5
10000/10000/0,quick,1,1
10000/10000/0,quick,2,2
10000/10000/0,quick,3,2
10000/10000/0,quick,4,1
10000/10000/0,quick,5,1
10000/10000/0,quick,6,1
10000/10000/0,quick,7,2
10000/10000/0,quick,8,1
10000/10000/0,quick,9,2
10000/10000/0_almost,quick,0,1
10000/10000/0_almost,quick,1,1
10000/10000/0_almost,quick,2,1
10000/10000/0_almost,quick,3,1
10000/10000/0_almost,quick,4,2
10000/10000/0_almost,quick,5,1
10000/10000/0_almost,quick,6,1
10000/10000/0_almost,quick,7,1
10000/10000/0_almost,quick,8,1
10000/10000/0_almost,quick,9,1
10000/10000/1,quick,0,2
10000/10000/1,quick,1,2
10000/10000/1,quick,2,1
10000/10000/1,quick,3,1
10000/10000/1,quick,4,1
10000/10000/1,quick,5,2
10000/10000/1,quick,6,2
10000/10000/1,quick,7,2
10000/10000/1,quick,8,1
10000/10000/1,quick,9,2
10000/10000/1_almost,quick,0,1
10000/10000/1_almost,quick,1,1
10000/10000/1_almost,quick,2,0
10000/10000/1_almost,quick,3,1
10000/10000/1_almost,quick,4,1
10000/10000/1_almost,quick,5,0
10000/10000/1_almost,quick,6,1
10000/10000/1_almost,quick,7,1
10000/10000/1_almost,quick,8,1
10000/10000/1_almost,quick,9,0
10000/10000/2,quick,0,2
10000/10000/2,quick,1,3
10000/10000/2,quick,2,3
10000/10000/2,quick,3,3
10000/10000/2,quick,4,2
10000/10000/2,quick,5,2
10000/10000/2,quick,6,3
10000/10000/2,quick,7,2
10000/10000/2,quick,8,2
10000/10000/2,quick,9,2
10000/10000/2_almost,quick,0,1
10000/10000/2_almost,quick,1,1
10000/10000/2_almost,quick,2,1
10000/10000/2_almost,quick,3,1
10000/10000/2_almost,quick,4,1
10000/10000/2_almost,quick,5,2
10000/10000/2_almost,quick,6,1
10000/10000/2_almost,quick,7,1
10000/10000/2_almost,quick,8,1
10000/10000/2_almost,quick,9,1
10000/10000/3,quick,0,1
10000/10000/3,quick,1,3
10000/10000/3,quick,2,2
10000/10000/3,quick,3,1
10000/10000/3,quick,4,2
10000/10000/3,quick,5,2
10000/10000/3,quick,6,2
10000/10000/3,quick,7,2
10000/10000/3,quick,8,2
10000/10000/3,quick,9,1
10000/10000/3_almost,quick,0,1
10000/10000/3_almost,quick,1,1
10000/10000/3_almost,quick,2,1
10000/10000/3_almost,quick,3,2
10000/10000/3_almost,quick,4,1
10000/10000/3_almost,quick,5,1
10000/10000/3_almost,quick,6,1
10000/10000/3_almost,quick,7,2
10000/10000/3_almost,quick,8,1
10000/10000/3_almost,quick,9,1
10000/10000/4,quick,0,2
10000/10000/4,quick,1,2
10000/10000/4,quick,2,2
10000/10000/4,quick,3,3
10000/10000/4,quick,4,1
10000/10000/4,quick,5,2
10000/10000/4,quick,6,2
10000/10000/4,quick,7,3
10000/10000/4,quick,8,2
10000/10000/4,quick,9,2
10000/10000/4_almost,quick,0,1
10000/10000/4_almost,quick,1,1
10000/10000/4_almost,quick,2,3
10000/10000/4_almost,quick,3,2
10000/10000/4_almost,quick,4,2
10000/10000/4_almost,quick,5,1
10000/10000/4_almost,quick,6,1
10000/10000/4_almost,quick,7,1
10000/10000/4_almost,quick,8,1
10000/10000/4_almost,quick,9,1
50000/50000/0,quick,0,8
50000/50000/0,quick,1,8
50000/50000/0,quick,2,9
50000/50000/0,quick,3,9
50000/50000/0,quick,4,8
50000/50000/0,quick,5,7
50000/50000/0,quick,6,7
50000/50000/0,quick,7,7
50000/50000/0,quick,8,8
50000/50000/0,quick,9,7
50000/50000/0_almost,quick,0,4
50000/50000/0_almost,quick,1,8
50000/50000/0_almost,quick,2,9
50000/50000/0_almost,quick,3,7
50000/50000/0_almost,quick,4,6
50000/50000/0_almost,quick,5,7
50000/50000/0_almost,quick,6,7
50000/50000/0_almost,quick,7,6
50000/50000/0_almost,quick,8,6
50000/50000/0_almost,quick,9,5
50000/50000/1,quick,0,9
50000/50000/1,quick,1,9
